case,iter,reward
test_180_120_001_0.csv,4,170
test_180_120_001_0.csv,5,200
test_180_120_001_0.csv,6,200
test_180_120_001_0.csv,7,230
test_180_120_001_0.csv,8,240
test_180_120_001_0.csv,9,250
test_180_120_001_0.csv,10,270
test_180_120_001_0.csv,11,310
test_180_120_001_0.csv,12,320
test_180_120_001_0.csv,13,330
test_180_120_001_0.csv,14,320
test_180_120_001_0.csv,15,350
test_180_120_001_0.csv,16,380
test_180_120_001_0.csv,17,420
test_180_120_001_0.csv,18,450
test_180_120_001_0.csv,19,470
test_180_120_001_0.csv,20,500
test_180_120_001_0.csv,21,520
test_180_120_001_0.csv,22,520
test_180_120_001_0.csv,23,540
test_180_120_001_0.csv,24,550
test_180_120_001_0.csv,25,540
test_180_120_001_0.csv,26,560
test_180_120_001_0.csv,27,570
test_180_120_001_0.csv,28,570
test_180_120_001_0.csv,29,580
test_180_120_001_0.csv,30,630
test_180_120_001_0.csv,31,640
test_180_120_001_0.csv,32,640
test_180_120_001_0.csv,33,640
test_180_120_001_0.csv,34,630
test_180_120_001_0.csv,35,670
test_180_120_001_0.csv,36,670
test_180_120_001_0.csv,37,700
test_180_120_001_0.csv,38,740
test_180_120_001_0.csv,39,750
test_180_120_001_0.csv,40,750
test_180_120_001_0.csv,41,730
test_180_120_001_0.csv,42,780
test_180_120_001_0.csv,43,790
test_180_120_001_0.csv,44,810
test_180_120_001_0.csv,45,800
test_180_120_001_0.csv,46,820
test_180_120_001_0.csv,47,830
test_180_120_001_0.csv,48,840
test_180_120_001_0.csv,49,840
test_180_120_001_0.csv,50,850
test_180_120_001_0.csv,51,880
test_180_120_001_0.csv,52,880
test_180_120_001_0.csv,53,880
test_180_120_001_0.csv,54,920
test_180_120_001_0.csv,55,890
test_180_120_001_0.csv,56,920
test_180_120_001_0.csv,57,960
test_180_120_001_0.csv,58,960
test_180_120_001_0.csv,59,960
test_180_120_001_0.csv,60,940
test_180_120_001_0.csv,61,960
test_180_120_001_0.csv,62,940
test_180_120_001_0.csv,63,960
test_180_120_001_0.csv,64,960
test_180_120_001_0.csv,65,970
test_180_120_001_0.csv,66,960
